epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13325,1.80598,3.40269,1.73962,0.01198,0.62963,0.11038,0.04257,1.64646,3.34032,1.85078,0,0,0
2,5.85299,1.74047,3.46868,1.62514,0.01198,0.62963,0.12385,0.04057,1.60495,3.33736,1.82889,1.40071e-05,1.40071e-05,1.40071e-05
3,8.51659,1.69059,3.39247,1.55435,0.01199,0.62963,0.13955,0.04917,1.52931,3.3536,1.79879,2.74482e-05,2.74482e-05,2.74482e-05
4,11.0996,1.6227,3.33534,1.5739,0.01208,0.62963,0.16774,0.07018,1.46248,3.36344,1.77009,4.03235e-05,4.03235e-05,4.03235e-05
5,13.5605,1.64529,3.31931,1.55548,0.01222,0.62963,0.18455,0.08206,1.41908,3.35311,1.72238,5.26329e-05,5.26329e-05,5.26329e-05
6,16.0839,1.34757,3.21917,1.46459,0.01225,0.62963,0.21973,0.09665,1.39172,3.34031,1.68402,6.43764e-05,6.43764e-05,6.43764e-05
7,18.7921,1.30694,3.30976,1.36237,0.01094,0.59259,0.22882,0.1117,1.32324,3.32274,1.64252,7.55541e-05,7.55541e-05,7.55541e-05
8,21.3931,1.26344,3.25066,1.27774,0.01245,0.62963,0.26093,0.13071,1.30826,3.30819,1.63073,8.61658e-05,8.61658e-05,8.61658e-05
9,23.9843,1.21613,3.28697,1.29678,0.01416,0.66667,0.27817,0.15279,1.2795,3.30396,1.60603,9.62117e-05,9.62117e-05,9.62117e-05
10,26.5535,1.22085,2.92437,1.28299,0.01436,0.66667,0.3057,0.16022,1.2567,3.28276,1.57927,0.000105692,0.000105692,0.000105692
11,29.3988,1.25656,2.88085,1.26166,0.01622,0.7037,0.30694,0.16851,1.26012,3.26728,1.56314,0.000114606,0.000114606,0.000114606
12,32.1176,1.13144,2.78803,1.22144,0.01905,0.77778,0.30491,0.17098,1.26851,3.24619,1.55859,0.000122954,0.000122954,0.000122954
13,34.6946,1.18288,2.87176,1.22699,0.01856,0.77778,0.31343,0.17479,1.23415,3.23289,1.52873,0.000130736,0.000130736,0.000130736
14,37.2377,1.14724,2.73102,1.1888,0.01707,0.74074,0.27511,0.15565,1.20424,3.2252,1.50151,0.000137953,0.000137953,0.000137953
15,39.8439,1.20702,2.40997,1.224,0.01558,0.7037,0.23033,0.15491,1.19993,3.1911,1.4983,0.000144603,0.000144603,0.000144603
16,42.4353,1.09427,2.23157,1.17379,0.01721,0.81481,0.24019,0.16282,1.18696,3.18426,1.49404,0.000150688,0.000150688,0.000150688
17,44.9642,1.15966,2.14693,1.22095,0.01692,0.81481,0.23512,0.15961,1.16666,3.17802,1.50102,0.000156207,0.000156207,0.000156207
18,47.4759,1.18699,2.02986,1.25419,0.01692,0.81481,0.23512,0.15961,1.16666,3.17802,1.50102,0.00016116,0.00016116,0.00016116
19,50.1305,1.20434,2.04159,1.26056,0.01681,0.81481,0.23437,0.16346,1.16748,3.15339,1.48361,0.000165547,0.000165547,0.000165547
20,52.7117,1.14054,1.96071,1.21954,0.01681,0.81481,0.23437,0.16346,1.16748,3.15339,1.48361,0.000169368,0.000169368,0.000169368
21,55.3614,1.1262,1.9739,1.182,0.01722,0.81481,0.23829,0.14751,1.20432,3.14685,1.47133,0.000172623,0.000172623,0.000172623
22,57.9233,1.18492,1.67164,1.19392,0.01722,0.81481,0.23829,0.14751,1.20432,3.14685,1.47133,0.000175313,0.000175313,0.000175313
23,60.6105,1.21137,1.76184,1.20545,0.62813,0.14815,0.24847,0.14677,1.21899,3.14797,1.48872,0.000177436,0.000177436,0.000177436
24,63.2213,1.08873,1.63902,1.17978,0.62813,0.14815,0.24847,0.14677,1.21899,3.14797,1.48872,0.000178994,0.000178994,0.000178994
25,65.8446,1.16985,1.65391,1.19542,1,0.10277,0.24911,0.14869,1.216,3.14155,1.48796,0.000179985,0.000179985,0.000179985
26,68.3433,1.10975,1.5761,1.20891,1,0.10277,0.24911,0.14869,1.216,3.14155,1.48796,0.000180411,0.000180411,0.000180411
27,70.935,1.12193,1.62754,1.16066,1,0.08371,0.26048,0.15288,1.22217,3.15372,1.50623,0.000180271,0.000180271,0.000180271
28,73.4287,1.119,1.50923,1.17591,1,0.08371,0.26048,0.15288,1.22217,3.15372,1.50623,0.000179565,0.000179565,0.000179565
29,76.0628,1.13501,1.51759,1.21793,1,0.08342,0.25751,0.1569,1.23475,3.15648,1.52149,0.000178293,0.000178293,0.000178293
30,78.5975,1.08303,1.57299,1.16791,1,0.08342,0.25751,0.1569,1.23475,3.15648,1.52149,0.000176456,0.000176456,0.000176456
31,81.2026,1.00224,1.36928,1.14419,1,0.08868,0.25817,0.15765,1.24606,3.16516,1.53549,0.000174052,0.000174052,0.000174052
32,83.72,1.03141,1.35512,1.15073,1,0.08868,0.25817,0.15765,1.24606,3.16516,1.53549,0.000171083,0.000171083,0.000171083
33,86.2468,1.12163,1.28222,1.19718,1,0.09147,0.25502,0.15729,1.2646,3.13283,1.52742,0.000167547,0.000167547,0.000167547
34,88.747,1.07802,1.25537,1.17982,1,0.09147,0.25502,0.15729,1.2646,3.13283,1.52742,0.000163446,0.000163446,0.000163446
35,91.2587,1.00659,1.1947,1.15031,1,0.09531,0.25782,0.15999,1.27279,3.10291,1.51849,0.000158779,0.000158779,0.000158779
36,93.7124,1.00391,1.28774,1.14365,1,0.09531,0.25782,0.15999,1.27279,3.10291,1.51849,0.000153546,0.000153546,0.000153546
37,96.3607,1.02432,1.22116,1.1247,1,0.1015,0.2773,0.17062,1.27252,3.07118,1.5098,0.000147747,0.000147747,0.000147747
38,98.8888,0.93357,1.15178,1.13112,1,0.1015,0.2773,0.17062,1.27252,3.07118,1.5098,0.000141382,0.000141382,0.000141382
39,101.429,1.00222,1.13725,1.09437,1,0.1071,0.28031,0.17284,1.27658,3.02273,1.50467,0.000134452,0.000134452,0.000134452
40,103.894,1.02991,1.16606,1.21825,1,0.1071,0.28031,0.17284,1.27658,3.02273,1.50467,0.000126955,0.000126955,0.000126955
41,106.503,0.92151,0.98779,1.08547,1,0.11964,0.31333,0.19071,1.28769,2.9618,1.48747,0.000118893,0.000118893,0.000118893
42,109.053,0.87157,1.05544,1.08754,1,0.11964,0.31333,0.19071,1.28769,2.9618,1.48747,0.000110264,0.000110264,0.000110264
43,111.678,0.9696,1.08699,1.10919,0.99836,0.14815,0.32706,0.20212,1.28789,2.92009,1.4754,0.00010107,0.00010107,0.00010107
44,114.164,0.89717,1.09002,1.09914,0.99836,0.14815,0.32706,0.20212,1.28789,2.92009,1.4754,9.13102e-05,9.13102e-05,9.13102e-05
45,116.649,0.93285,0.97431,1.09066,0.98274,0.14815,0.35143,0.21679,1.30196,2.89786,1.47425,8.09843e-05,8.09843e-05,8.09843e-05
46,119.17,0.93385,0.87107,1.09291,0.98274,0.14815,0.35143,0.21679,1.30196,2.89786,1.47425,7.00924e-05,7.00924e-05,7.00924e-05
47,121.72,0.89618,0.97134,1.10342,0.97574,0.14815,0.38193,0.23463,1.32509,2.87341,1.4785,5.86347e-05,5.86347e-05,5.86347e-05
48,124.215,0.90541,0.8351,1.04613,0.97574,0.14815,0.38193,0.23463,1.32509,2.87341,1.4785,4.66111e-05,4.66111e-05,4.66111e-05
49,126.686,0.99125,0.91546,1.09411,0.96789,0.14815,0.39179,0.23551,1.33788,2.85905,1.49054,3.40216e-05,3.40216e-05,3.40216e-05
50,129.182,0.87525,0.86095,1.0592,0.96789,0.14815,0.39179,0.23551,1.33788,2.85905,1.49054,2.08663e-05,2.08663e-05,2.08663e-05
1,6.32478,1.7645,3.53968,1.72604,0.01197,0.62963,0.13345,0.04693,1.62639,3.33293,1.83503,1.429e-05,1.429e-05,1.429e-05
2,12.2518,1.68805,3.58678,1.62015,0.01205,0.62963,0.14606,0.0602,1.52174,3.34642,1.78485,4.20212e-05,4.20212e-05,4.20212e-05
3,18.0219,1.46299,3.52098,1.49728,0.01218,0.62963,0.23326,0.08949,1.38684,3.35205,1.7164,6.86206e-05,6.86206e-05,6.86206e-05
4,23.9209,1.16888,3.44977,1.30981,0.01381,0.66667,0.27563,0.12874,1.33417,3.28757,1.62533,9.40882e-05,9.40882e-05,9.40882e-05
5,29.5538,1.10973,3.42519,1.27945,0.01428,0.66667,0.31946,0.19019,1.28308,3.25519,1.58016,0.000118424,0.000118424,0.000118424
6,34.943,1.10473,2.96761,1.20498,0.0207,0.96296,0.31879,0.20766,1.28576,3.20034,1.53576,0.000141628,0.000141628,0.000141628
7,40.2151,1.03603,2.85431,1.16285,0.02018,0.96296,0.31858,0.2136,1.25228,3.16541,1.46403,0.000163701,0.000163701,0.000163701
8,45.647,0.97892,2.56482,1.09931,0.02038,1,0.36964,0.24403,1.18812,3.06427,1.32473,0.000184641,0.000184641,0.000184641
9,50.9798,1.03902,2.19162,1.14986,0.0199,1,0.36527,0.22213,1.21349,3.02334,1.30888,0.00020445,0.00020445,0.00020445
10,56.4599,1.00959,2.0775,1.10617,0.01959,1,0.38429,0.23556,1.16516,2.9609,1.23489,0.000223127,0.000223127,0.000223127
11,61.8087,0.88632,1.73967,1.06613,0.01956,1,0.3972,0.24439,1.17293,2.91772,1.22334,0.000240672,0.000240672,0.000240672
12,67.316,0.83749,1.5454,1.05619,0.01998,1,0.41777,0.26517,1.18713,2.86061,1.19908,0.000257086,0.000257086,0.000257086
13,72.8285,0.92973,1.54617,1.08501,0.01965,1,0.44135,0.284,1.20088,2.80073,1.19827,0.000272367,0.000272367,0.000272367
14,78.3089,0.92451,1.66913,1.07473,0.02383,1,0.45434,0.29579,1.22031,2.72493,1.17257,0.000286517,0.000286517,0.000286517
15,84.0626,0.83904,1.32728,1.05068,0.36988,0.57778,0.48152,0.31329,1.19742,2.65692,1.16363,0.000299536,0.000299536,0.000299536
16,89.6549,0.86061,1.1901,1.06656,0.57377,0.2963,0.53228,0.33757,1.19904,2.55941,1.15516,0.000311422,0.000311422,0.000311422
17,95.1479,0.82387,1.27393,1.05733,0.64173,0.25926,0.57008,0.36117,1.16968,2.47464,1.13835,0.000322177,0.000322177,0.000322177
18,100.487,0.91961,1.36136,1.09142,0.64788,0.25926,0.57698,0.36842,1.16636,2.38921,1.12957,0.0003318,0.0003318,0.0003318
19,105.815,0.9279,1.20913,1.09399,0.62817,0.28465,0.6029,0.38788,1.20064,2.35626,1.12435,0.000340291,0.000340291,0.000340291
20,111.401,1.03997,1.17049,1.1529,0.62806,0.28373,0.60057,0.37558,1.28865,2.37266,1.15151,0.00034765,0.00034765,0.00034765
21,116.869,0.9378,1.18598,1.09092,0.63032,0.3032,0.61288,0.36429,1.38453,2.38019,1.19456,0.000353878,0.000353878,0.000353878
22,122.297,0.85197,1.05957,1.07864,0.6331,0.33099,0.62171,0.33298,1.50223,2.3432,1.25131,0.000358973,0.000358973,0.000358973
23,128.04,0.86361,1.10102,1.09071,0.62224,0.33333,0.63375,0.3539,1.47906,2.24857,1.23193,0.000362937,0.000362937,0.000362937
24,133.896,0.84851,0.99695,1.10231,0.60869,0.42411,0.65997,0.38689,1.38371,2.14838,1.17832,0.00036577,0.00036577,0.00036577
25,139.303,0.77807,0.96066,1.00908,0.58808,0.45705,0.68477,0.42857,1.27119,2.02942,1.11937,0.00036747,0.00036747,0.00036747
26,145.611,0.82517,0.91416,1.06342,0.55472,0.49005,0.70728,0.4639,1.22079,1.90761,1.0864,0.000368039,0.000368039,0.000368039
27,151.358,0.77738,0.99491,1.04669,0.61909,0.59858,0.75167,0.50318,1.20246,1.78913,1.08043,0.000367476,0.000367476,0.000367476
28,156.87,0.72367,0.85752,1.00875,0.61909,0.59858,0.75167,0.50318,1.20246,1.78913,1.08043,0.000365781,0.000365781,0.000365781
1,6.19311,1.7645,3.53968,1.72604,0.01197,0.62963,0.13345,0.04693,1.62639,3.33293,1.83503,1.429e-05,1.429e-05,1.429e-05
